Name,Pos,Fg%,Fg3%,Fg2%,Ft%,Orb,Drb,Ast,Blk,Stl,Pts
,PF,.525,.260,.578,.643,141,210,53,56,30,372
,C,.511,.419,.658,.867,82,331,168,62,38,562
,PG,.452,.410,.511,.860,31,69,114,7,50,562
,C,.611,.333,.676,.793,145,231,74,60,26,561
,SG,.491,.419,.572,.784,52,135,120,37,76,561
,PG,.404,.296,.475,.783,41,137,127,20,33,557
,PG,.373,.125,.486,.800,12,23,19,3,5,56
,PG,.408,.311,.474,.780,29,114,108,17,28,501
,SF,.483,.186,.575,.597,129,273,120,59,68,556
,C,.656,,.656,.551,146,283,127,76,35,555
,SG,.562,.492,.598,.789,60,126,86,19,56,542
,PF,.702,.000,.704,.561,135,206,82,76,29,540
,SG,.462,.360,.555,.785,65,131,57,24,42,533
,PG,.441,.371,.498,.827,18,207,393,6,70,533
,SF,.435,.346,.502,.702,56,200,110,48,57,532
,SF,.465,.296,.553,.670,56,202,86,88,42,532
,SG,.407,.362,.447,.776,20,111,109,4,22,530
,PF,.450,.337,.523,.758,139,204,87,33,66,527
,PG,.433,.355,.500,.865,29,84,176,4,40,526
,SG,.382,.366,.411,.838,29,119,70,7,19,524
,SG,.446,.378,.529,.800,59,231,175,34,47,521
,C,.654,.211,.680,.602,165,316,60,154,30,518
,PG,.396,.330,.438,.807,21,100,177,19,45,516
,C,.466,.376,.560,.849,73,210,144,10,31,515
,PG,.446,.387,.510,.921,23,100,140,6,42,514
,SG,.425,.365,.495,.863,27,105,68,2,34,510
,SG,.406,.333,.457,.824,42,118,94,12,28,510
,PF,.456,.331,.553,.819,46,132,70,31,16,509
,PF,.460,.229,.488,.708,60,213,331,47,71,506
,SF,.408,.365,.504,.815,42,164,103,42,48,504
,PF,.487,.383,.575,.753,74,231,73,38,17,503
,SF,.464,.411,.479,.742,38,143,158,13,40,500
,SF,.468,.361,.496,.765,25,92,116,12,28,362
,SF,.453,.517,.429,.692,13,51,42,1,12,138
,SF,.479,.389,.601,.673,25,155,119,11,36,489
,SG,.452,.349,.536,.854,8,121,98,8,21,487
,PG,.432,.392,.512,.840,34,160,253,21,59,487
,PG,.426,.385,.506,.833,25,104,147,15,39,303
,PG,.444,.404,.522,.848,9,56,106,6,20,184
,PF,.440,.344,.643,.787,59,279,115,10,18,485
,SG,.402,.404,.385,.929,22,98,108,4,19,485
,C,.747,.000,.752,.506,135,243,60,77,36,483
,PF,.497,.395,.551,.730,76,322,332,47,55,475
,SG,.479,.385,.572,.684,40,144,130,9,47,469
,SF,.463,.387,.516,.791,53,187,128,12,49,466
,SF,.472,.380,.571,.859,29,119,76,14,41,463
,SG,.411,.294,.523,.661,74,142,83,44,47,455
,SG,.426,.331,.551,.750,35,91,47,29,27,274
,SG,.391,.217,.496,.611,39,51,36,15,20,181
,PG,.417,.337,.490,.822,49,190,212,31,43,451
,PG,.432,.321,.523,.810,30,115,144,18,24,294
,PG,.391,.361,.424,.852,19,75,68,13,19,157
,C,.613,.000,.617,.706,110,226,54,39,12,446
,PF,.527,.397,.564,.794,52,142,81,19,23,432
,SG,.448,.450,.442,.889,11,102,136,2,20,429
,PF,.443,.399,.474,.788,46,120,66,33,40,429
,SF,.435,.345,.633,.759,51,188,161,19,40,428
,PG,.533,.491,.557,.779,25,124,157,5,22,428
,SG,.444,.347,.561,.944,18,103,105,14,24,425
,PF,.403,.293,.478,.691,53,158,80,11,27,425
,PF,.402,.301,.470,.687,51,149,76,11,25,403
,PF,.435,.125,.600,1.000,2,9,4,0,2,22
,PG,.430,.279,.537,.813,14,74,262,7,31,422
,PG,.407,.244,.565,.737,1,23,76,3,9,99
,PG,.437,.294,.529,.839,13,51,186,4,22,323
,SG,.386,.360,.425,.835,28,113,114,16,60,421
,SF,.397,.307,.487,.827,35,145,75,9,36,420
,PF,.445,.384,.578,.700,61,196,72,19,17,419
,C,.571,.267,.588,.610,161,228,85,44,24,415
,PF,.465,.396,.562,.639,65,145,70,30,53,405
,PG,.412,.377,.464,.673,25,103,117,15,59,397
,PF,.510,.375,.598,.720,73,187,30,70,43,393
,C,.665,.000,.677,.716,94,144,50,61,34,383
,PG,.459,.373,.516,.763,20,129,165,3,51,382
,PG,.500,.421,.571,1.000,4,20,20,0,3,49
,PG,.453,.364,.509,.759,16,109,145,3,48,333
,PG,.418,.331,.513,.732,21,93,130,8,38,380
,PG,.409,.350,.491,.773,13,52,73,6,18,157
,PG,.391,.308,.500,.818,0,6,6,0,1,31
,PG,.430,.316,.528,.684,8,35,51,2,19,192
,C,.601,1.000,.596,.774,103,219,63,61,27,379
,PF,.389,.340,.442,.826,51,77,58,12,29,379
,PG,.452,.361,.539,.714,19,76,134,3,17,379
,SF,.396,.268,.525,.661,85,139,80,21,53,376
,C,.532,.366,.586,.760,85,159,61,51,21,376
,C,.250,.000,.333,,0,0,0,0,0,2
,C,.536,.371,.589,.760,85,159,61,51,21,374
,SG,.441,.371,.598,.756,24,67,87,14,49,372
,PG,.435,.294,.502,.741,50,114,203,12,68,369
,PG,.369,.298,.411,.746,88,165,155,18,48,368
,PG,.389,.288,.460,.862,40,77,78,9,23,198
,PG,.349,.311,.367,.633,48,88,77,9,25,170
,SF,.462,.336,.560,.830,28,121,62,13,26,364
,SF,.451,.306,.565,.818,8,25,18,1,6,94
,SF,.465,.347,.557,.833,20,96,44,12,20,270
,SG,.372,.338,.466,.756,15,85,66,7,35,359
,SG,.395,.363,.486,.706,14,74,52,3,30,327
,SG,.214,.143,.357,.909,1,11,14,4,5,32
,PG,.378,.329,.466,.571,11,49,94,16,37,357
,PG,.470,.369,.525,.688,50,139,254,28,68,357
,PG,.447,.311,.551,.642,62,174,164,25,85,354
,SF,.397,.346,.535,.759,30,106,90,49,113,354
,PF,.452,.399,.525,.702,25,167,90,14,25,352
,SF,.433,.410,.527,.579,10,49,70,2,16,351
,SF,.442,.439,.452,.588,8,40,57,2,11,276
,SF,.406,.321,.769,.500,2,9,13,0,5,75
,C,.573,.415,.631,.770,94,213,113,19,61,350
,PF,.466,.307,.587,.702,39,215,49,33,16,347
,PG,.472,.222,.487,.697,56,82,120,15,42,335
,C,.700,1.000,.698,.907,118,143,67,61,23,334
,C,.597,.000,.599,.675,143,276,133,29,28,334
,C,.504,.298,.633,.906,41,153,46,16,43,332
,C,.508,.294,.646,.884,24,86,19,9,19,185
